NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,COMP. MED. REHAB BEDS
PARKLAND MEMORIAL HOSPITAL,5200 - 5201 HARRY HINES BOULEVARD,DALLAS,TX,75235,"5201 Harry Hines Blvd, Dallas, TX 75235",32.811035,-96.837839,DALLAS,2145900356,24
PETERSON REGIONAL MEDICAL CENTER,551 HILL COUNTRY DRIVE,KERRVILLE,TX,78028,"551 Hill Country Dr S, Kerrville, TX 78028",30.043795,-99.152235,KERR,8308964200,26
PREMIER SPECIALTY HOSPITAL OF EL PASO,2311 NORTH OREGON STREET,EL PASO,TX,79902,"2311 N Oregon St, El Paso, TX 79902",31.773489,-106.501598,EL PASO,9155451823,32
PROVIDENCE HOSPITAL,230 CALLE DEL NORTE,LAREDO,TX,78041,"230 Calle Del Norte, Laredo, TX 78041",27.556495,-99.492172,WEBB,9566935000,12
REBA MCENTIRE CENTER FOR REHABILITATION,1200 REBA MCENTIRE LANE,DENISON,TX,75020,"1200 Reba Mcentire Ln, Denison, TX 75020",33.770507,-96.551124,GRAYSON,9034161000,21
REHABILITATION HOSPITAL AT RENAISSANCE,5403 DOCTORS DRIVE,EDINBURG,TX,78539,"5403 Doctors Dr, Edinburg, TX 78539",26.255222,-98.206321,HIDALGO,9563623550,38
REUNION REHABILITATION HOSPITAL ARLINGTON,4351 CENTREWAY PLACE,ARLINGTON,TX,76018,"4351 Centreway Pl, Arlington, TX 76018",32.676211,-97.108247,TARRANT,6823391400,40
REUNION REHABILITATION HOSPITAL PLANO,3600 MAPLESHADE LANE,PLANO,TX,75075,"3601 Mapleshade Ln, Plano, TX 75075",33.0026,-96.756008,COLLIN,4698302350,48
RIO GRANDE REGIONAL HOSPITAL,101 E RIDGE ROAD,MCALLEN,TX,78503,"101 E Ridge Rd, McAllen, TX 78503",26.186287,-98.222486,HIDALGO,9566326000,15
ROUND ROCK MEDICAL CENTER,2400 ROUND ROCK AVENUE,ROUND ROCK,TX,78681,"2400 Round Rock Ave, Round Rock, TX 78681",30.510718,-97.713493,WILLIAMSON,5123411000,12
SELECT REHABILITATION HOSPITAL OF DENTON,2620 SCRIPTURE STREET,DENTON,TX,76201,"2620 Scripture St, Denton, TX 76201",33.219896,-97.167874,DENTON,9402976500,44
SHANNON MEDICAL CENTER ST JOHNS CAMPUS,2018 PULLIAM STREET,SAN ANGELO,TX,76905,"2018 Pulliam St, San Angelo, TX 76905",31.471467,-100.402302,TOM GREEN,3256536741,14
SHANNON REHABILITATION HOSPITAL AN AFFILIATE OF ENCOMPASS HEALTH,6046 APPALOOSA TRAIL,SAN ANGELO,TX,76901,"6146 Appaloosa Trl, San Angelo, TX 76901",31.429771,-100.519267,TOM GREEN,3252844000,40
"SOUTH PLAINS REHAB HOSPITAL, AN AFFILIATE OF UMC AND ENCOMPASS",5406 COLGATE STREET,LUBBOCK,TX,79416,"5406 Colgate St, Lubbock, TX 79416",33.602207,-101.9285,LUBBOCK,8065073500,66
SOUTH TEXAS HEALTH SYSTEM EDINBURG,1102 WEST TRENTON ROAD,EDINBURG,TX,78539,"1102 W Trenton Rd, Edinburg, TX 78539",26.261293,-98.181844,HIDALGO,9563886000,50
SOUTH TEXAS HEALTH SYSTEM MCALLEN,301 WEST EXPRESSWAY 83,MCALLEN,TX,78503,"301 Expwy 83, McAllen, TX 78503",26.186457,-98.225692,HIDALGO,9566324000,18
SOUTH TEXAS REHABILITATION HOSPITAL,425 EAST ALTON GLOOR BOULEVARD,BROWNSVILLE,TX,78526,"425 E Alton Gloor Blvd, Brownsville, TX 78526",25.979552,-97.510423,CAMERON,9565546000,40
ST DAVIDS GEORGETOWN HOSPITAL A ST DAVIDS MEDICAL CENTER FACILI,2000 SCENIC DRIVE,GEORGETOWN,TX,78626,"2000 Scenic Dr, Georgetown, TX 78626",30.626493,-97.688147,WILLIAMSON,5129433000,22
"ST DAVIDS REHABILITATION HOSPITAL, A ST DAVIDS MEDICAL CENTER",1005 EAST 32ND STREET,AUSTIN,TX,78705,"1005 E 32nd St, Austin, TX 78705",30.289512,-97.724772,TRAVIS,5125445100,64
ST DAVIDS SURGICAL HOSPITAL A CAMPUS OF NORTH AUSTIN MEDICAL CTR,1201 W LOUIS HENNA BLVD,AUSTIN,TX,78681,"1201 W Louis Henna Blvd, Austin, TX 78681",30.477073,-97.690592,WILLIAMSON,5129011000,20
ST JOSEPH MEDICAL CENTER,1401 ST JOSEPH PARKWAY,HOUSTON,TX,77002,"1401 St Joseph Pkwy, Houston, TX 77002",29.748091,-95.366207,HARRIS,7137565007,29
ST LUKES BAPTIST HOSPITAL,7930 FLOYD CURL DRIVE,SAN ANTONIO,TX,78229,"7930 Floyd Curl Dr, San Antonio, TX 78229",29.512373,-98.574718,BEXAR,2102975600,24
ST LUKES THE WOODLANDS HOSPITAL,17200 ST LUKES WAY,THE WOODLANDS,TX,77384,"17200 St Lukes Way, Conroe, TX 77384",30.205221,-95.458625,MONTGOMERY,9362662000,18
TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,8200 WALNUT HILL LN,DALLAS,TX,75231,"8200 Walnut Hill Ln, Dallas, TX 75231",32.879541,-96.761274,DALLAS,2143456789,52
TEXAS NEUROREHAB CENTER,1106 WEST DITTMAR BUILDING 9,AUSTIN,TX,78745,"1106 W Dittmar Rd, Bldg 9, Austin, TX 78745",30.186171,-97.805346,TRAVIS,5124444835,47
TEXAS REHABILITATION HOSPITAL OF ARLINGTON,900 W ARBROOK BLVD,ARLINGTON,TX,76015,"900 W Arbrook Blvd, Arlington, TX 76015",32.680591,-97.122248,TARRANT,6823046000,40
TEXAS REHABILITATION HOSPITAL OF FORT WORTH,425 ALABAMA AVENUE,FORT WORTH,TX,76104,"425 Alabama Ave, Fort Worth, TX 76104",32.74093,-97.341321,TARRANT,8178203400,66
TEXAS REHABILITATION HOSPITAL OF KELLER,791 S MAIN STREET,KELLER,TX,76248,"791 S Main St, Keller, TX 76248",32.922695,-97.253459,TARRANT,8175629700,36
THE CORPUS CHRISTI MEDICAL CENTER - NORTHWEST,13725 NORTHWEST BLVD,CORPUS CHRISTI,TX,78410,"13725 Northwest Blvd, Corpus Christi, TX 78410",27.856257,-97.634527,NUECES,3617674300,24
THE HOSPITALS OF PROVIDENCE SIERRA CAMPUS,1625 MEDICAL CENTER DRIVE,EL PASO,TX,79902,"1625 Medical Center St, El Paso, TX 79902",31.777611,-106.480389,EL PASO,9157474000,24
THE MEDICAL CENTER OF SOUTHEAST TEXAS,2555 JIMMY JOHNSON BLVD,PORT ARTHUR,TX,77640,"2555 Jimmy Johnson Blvd, Port Arthur, TX 77640",29.933896,-93.988304,JEFFERSON,4098535902,11
TIRR MEMORIAL HERMANN,1333 MOURSUND STREET,HOUSTON,TX,77030,"1333 Moursund St, Houston, TX 77030",29.708931,-95.394498,HARRIS,7137995000,134
TITUS REGIONAL MEDICAL CENTER,2001 NORTH JEFFERSON,MOUNT PLEASANT,TX,75455,"2001 N Jefferson Ave, Mount Pleasant, TX 75455",33.175741,-94.971816,TITUS,9035776000,10
TRUSTPOINT REHABILITATION HOSPITAL OF LUBBOCK,4302 PRINCETON STREET,LUBBOCK,TX,79415,"4302 Princeton St, Lubbock, TX 79415",33.616598,-101.902847,LUBBOCK,8067492222,93
UNIVERSITY HOSPITAL,4502 MEDICAL DRIVE,SAN ANTONIO,TX,78229,"4502 Medical Dr, San Antonio, TX 78229",29.508584,-98.578904,BEXAR,2103584000,10
UT HEALTH EAST TEXAS REHABILITATION HOSPITAL,701 OLYMPIC PLAZA CIRCLE,TYLER,TX,75701,"701 Olympic Plaza Cir, Tyler, TX 75701",32.337458,-95.292465,SMITH,9035963258,49
VALLEY BAPTIST MEDICAL CENTER,2101 PEASE ST,HARLINGEN,TX,78550,"2101 Pease St, Harlingen, TX 78550",26.17459,-97.671586,CAMERON,9563891674,22
VIBRA REHABILITATION HOSPITAL OF AMARILLO,7200 W 9TH STREET,AMARILLO,TX,79106,"7200 SW 9th Ave, Amarillo, TX 79106",35.206813,-101.920056,POTTER,8064682900,44
WARM SPRINGS REHABILITATION HOSPITAL OF KYLE,5980 KYLE PARKWAY,KYLE,TX,78640,"5980 Kyle Pkwy, Kyle, TX 78640",30.008403,-97.85617,HAYS,5122620821,40
WARM SPRINGS REHABILITATION HOSPITAL OF SAN ANTONIO,5101 MEDICAL DRIVE,SAN ANTONIO,TX,78229,"5101 Medical Dr, San Antonio, TX 78229",29.513347,-98.586701,BEXAR,2106160100,65
WARM SPRINGS REHABILITATION HOSPITAL OF WESTOVER HILLS,10323 STATE HWY 151,SAN ANTONIO,TX,78251,"10323 State Hwy 151, San Antonio, TX 78251",29.451743,-98.684901,BEXAR,2104228791,40
WEATHERFORD REHABILITATION HOSPITAL LLC,703 EUREKA ST,WEATHERFORD,TX,76086,"703 Eureka St, Weatherford, TX 76086",32.750732,-97.787751,PARKER,6828030100,26
WESLACO REGIONAL REHABILITATION HOSPITAL,906 SOUTH JAMES STREET,WESLACO,TX,78596,"906 James St, Weslaco, TX 78596",26.151043,-97.976603,HIDALGO,9569692222,32
WISE HEALTH SYSTEM,2000 SOUTH FM 51,DECATUR,TX,76234,"2000 S FM 51, Decatur, TX 76234",33.217826,-97.597762,WISE,9406264001,15
